optimizer_name,best_cost,last_cost,elapsed_time_ms,loop_count
optimal,2579,2579,0,0
steepest,2785,2840,1024,33
steepest,2793,2883,1030,33
steepest,2800,2939,1004,27
steepest,2700,2918,1005,28
steepest,2787,2888,1025,24
steepest,2760,2871,1017,21
steepest,2764,2878,1025,31
steepest,2785,2858,1016,32
steepest,2788,2960,1008,31
steepest,2763,2865,1015,33
greedy,2673,2770,1045,26
greedy,2713,2782,1003,26
greedy,2658,2890,1034,28
greedy,2656,2886,1014,24
greedy,2746,2875,1009,22
greedy,2724,2736,1043,25
greedy,2698,2827,1027,28
greedy,2654,2764,1031,29
greedy,2685,2834,1029,27
greedy,2665,2817,1027,29
heuristic,2996,3388,1000,10203
heuristic,2956,3243,1000,9422
heuristic,2948,3197,1000,10432
heuristic,2913,3241,1000,12029
heuristic,2930,3572,1000,11675
heuristic,3016,3362,1000,11933
heuristic,2988,3369,1000,12506
heuristic,2984,3279,1000,12479
heuristic,2954,3188,1000,12493
heuristic,2975,3406,1000,12532
