optimizer_name,best_cost,last_cost,elapsed_time_ms,loop_count
optimal,6527,6527,0,0
steepest,6701,7078,1001,220
steepest,6647,7041,1001,213
steepest,6760,6871,1003,222
steepest,6696,7270,1001,221
steepest,6755,7124,1001,220
steepest,6815,6983,1003,221
steepest,6823,7106,1003,221
steepest,6720,7111,1002,220
steepest,6740,7080,1001,220
steepest,6733,7388,1002,221
greedy,6662,6921,1003,209
greedy,6692,6799,1002,210
greedy,6664,6999,1001,218
greedy,6650,7126,1000,209
greedy,6586,7048,1003,218
greedy,6681,6829,1005,219
greedy,6665,7100,1002,218
greedy,6696,6853,1000,218
greedy,6695,7156,1003,218
greedy,6651,6810,1003,215
heuristic,7212,7665,1000,39968
heuristic,7212,7934,1000,40033
heuristic,7212,7881,1000,40005
heuristic,7212,8120,1000,40012
heuristic,7212,8496,1000,39989
heuristic,7212,7766,1000,39965
heuristic,7212,8017,1000,40039
heuristic,7212,7544,1000,40020
heuristic,7212,8310,1000,40025
heuristic,7212,7467,1000,39545
random,44483,53592,1000,123614
random,45838,50527,1000,124738
random,45364,55712,1000,124803
random,43962,51258,1000,124752
random,44169,54574,1000,124612
random,45373,58473,1000,124482
random,45781,54199,1000,124709
random,45954,55042,1000,124927
random,44273,54260,1000,124879
random,45804,56451,1000,124562
