optimizer_name,best_cost,last_cost,elapsed_time_ms,loop_count
optimal,21282,21282,0,0
steepest,21363,22812,1000,701
steepest,21383,24369,1001,700
steepest,21393,22972,1001,684
steepest,21315,22446,1001,705
steepest,21372,23040,1000,681
steepest,21296,23405,1000,700
steepest,21315,23053,1000,699
steepest,21296,23096,1000,716
steepest,21383,22513,1000,713
steepest,21360,22021,1000,703
greedy,21356,21820,1001,702
greedy,21282,22202,1000,715
greedy,21296,22837,1001,579
greedy,21296,22677,1000,626
greedy,21292,23269,1000,687
greedy,21282,22527,1000,680
greedy,21360,22367,1001,650
greedy,21315,22517,1001,637
greedy,21387,22666,1001,729
greedy,21353,23289,1001,726
heuristic,24698,27211,1000,80786
heuristic,24698,26908,1000,76943
heuristic,24698,28109,1000,79967
heuristic,24698,26250,1000,71607
heuristic,24698,26741,1000,76248
heuristic,24698,25995,1000,82216
heuristic,24698,26288,1000,82682
heuristic,24698,27176,1000,82646
heuristic,24698,26484,1000,82149
heuristic,24698,26466,1000,82654
