optimizer_name,best_cost,last_cost,elapsed_time_ms,loop_count
optimal,20749,20749,0,0
steepest,20852,23537,1000,709
steepest,20753,23489,1001,715
steepest,20852,22093,1000,715
steepest,20853,22830,1000,716
steepest,20818,21704,1001,717
steepest,20942,21967,1000,712
steepest,20971,23359,1000,706
steepest,20816,23801,1000,708
steepest,20872,22966,1000,714
steepest,20749,21571,1000,715
greedy,20749,21535,1000,702
greedy,20851,23354,1000,721
greedy,20872,21508,1000,724
greedy,20853,21504,1000,707
greedy,20818,21890,1000,734
greedy,20862,22644,1000,708
greedy,20816,21767,1000,710
greedy,20749,21624,1001,691
greedy,20769,21831,1001,719
greedy,20785,22001,1001,715
heuristic,23564,23569,1000,82548
heuristic,23564,24771,1000,82858
heuristic,23564,23660,1000,82773
heuristic,23564,25415,1000,82914
heuristic,23564,24949,1000,82592
heuristic,23564,26277,1000,82915
heuristic,23564,24362,1000,82833
heuristic,23564,27255,1000,82917
heuristic,23564,25519,1000,82839
heuristic,23564,27591,1000,82808
