optimizer_name,best_cost,last_cost,elapsed_time_ms,loop_count
optimal,14379,14379,0,0
steepest,14460,15509,1001,597
steepest,14412,15476,1000,580
steepest,14462,15498,1000,603
steepest,14455,16164,1001,601
steepest,14416,15621,1000,604
steepest,14438,15344,1000,601
steepest,14379,15692,1000,583
steepest,14379,15573,1000,598
steepest,14456,15078,1001,600
steepest,14379,15931,1001,599
greedy,14515,15081,1000,619
greedy,14489,14848,1001,616
greedy,14457,15309,1000,626
greedy,14495,14541,1001,626
greedy,14379,14870,1000,619
greedy,14426,15328,1001,617
greedy,14438,15057,1001,624
greedy,14401,15200,1001,620
greedy,14379,15439,1001,604
greedy,14510,14675,1001,621
heuristic,16935,19419,1000,73169
heuristic,16935,18663,1000,75993
heuristic,16935,17042,1000,77143
heuristic,16935,19400,1000,76483
heuristic,16935,17143,1000,76964
heuristic,16935,19222,1000,76358
heuristic,16935,18676,1000,76610
heuristic,16935,19373,1000,76855
heuristic,16935,17840,1000,75005
heuristic,16935,19235,1000,76403
random,95218,134508,1000,160721
random,96007,122425,1000,170687
random,95459,140384,1000,171116
random,98341,131278,1000,170495
random,98822,117224,1000,170425
random,95249,121036,1000,171525
random,97069,126732,1000,171730
random,97626,134946,1000,170258
random,97278,127054,1000,169895
random,94885,123137,1000,171344
