optimizer_name,best_cost,last_cost,elapsed_time_ms,loop_count
optimal,50778,50778,0,0
steepest,54795,55834,1126,8
steepest,55080,57418,1124,8
steepest,55338,55383,1121,8
steepest,54913,57231,1130,8
steepest,54347,55445,1124,8
steepest,55453,55810,1127,8
steepest,54749,56747,1125,8
steepest,55024,56925,1112,8
steepest,55759,56866,1110,8
steepest,55020,55020,1119,8
greedy,53910,55229,1091,7
greedy,55055,55599,1006,5
greedy,54207,55594,1182,7
greedy,54590,54929,1072,6
greedy,54121,55006,1122,6
greedy,54248,54560,1181,6
greedy,53913,55984,1148,7
greedy,53596,54887,1013,5
greedy,52966,55116,1144,6
greedy,54123,55549,1182,6
heuristic,59748,66427,1000,4253
heuristic,59931,68076,1000,4286
heuristic,59661,67814,1000,4270
heuristic,59447,64986,1000,4273
heuristic,59522,67783,1000,4281
heuristic,59909,66653,1000,4288
heuristic,59036,65382,1000,4251
heuristic,59879,66162,1000,4243
heuristic,59509,63825,1000,4180
heuristic,59358,66559,1000,4089
