optimizer_name,best_cost,last_cost,elapsed_time_ms,loop_count
optimal,259045,259045,0,0
steepest,285463,285463,3593,1
steepest,282839,282839,3608,1
steepest,285000,285000,3524,1
steepest,285900,285900,3654,1
steepest,280071,280071,3515,1
steepest,284052,284052,3505,1
steepest,287733,287733,3434,1
steepest,285291,285291,3511,1
steepest,283808,283808,3417,1
steepest,282956,282956,3448,1
greedy,278040,278040,7074,1
greedy,284648,284648,6735,1
greedy,284065,284065,4928,1
greedy,284247,284247,7391,1
greedy,277804,277804,9298,1
greedy,281218,281218,9770,1
greedy,283164,283164,6110,1
greedy,283849,283849,7125,1
greedy,281364,281364,7940,1
greedy,276340,276340,9429,1
heuristic,304585,342136,1001,375
heuristic,304299,326030,1001,376
heuristic,310733,331064,1001,371
heuristic,309933,344835,1002,375
heuristic,310428,319978,1000,375
heuristic,309024,326858,1002,375
heuristic,307145,315355,1002,375
heuristic,307351,334474,1001,376
heuristic,306623,336274,1001,375
heuristic,307034,332617,1000,374
random,6.07295e+06,6.53164e+06,1000,16558
random,6.10419e+06,6.56903e+06,1000,16568
random,6.09696e+06,6.43849e+06,1000,16573
random,6.10621e+06,6.3305e+06,1000,16589
random,6.119e+06,6.33201e+06,1000,16586
random,6.11077e+06,6.45632e+06,1000,16587
random,6.08639e+06,6.64373e+06,1000,16576
random,6.08998e+06,6.48214e+06,1000,16594
random,6.13174e+06,6.6366e+06,1000,16581
random,6.11457e+06,6.48223e+06,1000,16577
