optimizer_name,best_cost,last_cost,elapsed_time_ms,loop_count
optimal,3854,3854,0,0
steepest,4099,4297,1010,62
steepest,4096,4306,1006,65
steepest,4093,4185,1008,65
steepest,4060,4179,1008,65
steepest,4088,4194,1004,65
steepest,4081,4206,1013,66
steepest,4086,4297,1011,65
steepest,4087,4167,1008,65
steepest,4089,4284,1010,65
steepest,4087,4214,1009,64
greedy,4007,4202,1001,56
greedy,4026,4148,1005,53
greedy,4059,4174,1023,55
greedy,4042,4084,1003,55
greedy,4062,4187,1000,54
greedy,4076,4136,1000,55
greedy,4031,4122,1005,54
greedy,4059,4136,1014,57
greedy,4034,4061,1009,54
greedy,4049,4178,1009,57
heuristic,4399,4646,1000,19755
heuristic,4382,4856,1000,19738
heuristic,4390,5001,1000,19780
heuristic,4390,5141,1000,19729
heuristic,4389,4835,1000,19760
heuristic,4399,4665,1000,19804
heuristic,4390,4882,1000,19818
heuristic,4399,5072,1000,19775
heuristic,4397,4838,1000,19707
heuristic,4390,5288,1000,19511
