"problem","problem_size","optimizer","time_iterations","time_duration_ms","time_ms","optimal_cost","optimal_path","start_cost","final_cost","steps","seen_solutions","final_path","quality"
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1670,453,44,56100,"7 47 0 26 5 22 6 42 23 13 24 17 3 12 40 18 39 41 43 44 32 38 9 14 36 16 46 11 50 45 31 10 37 4 48 8 29 33 49 15 20 28 1 19 34 35 2 21 27 30 25",0.982722874913614
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1695,454,46,58650,"17 3 12 40 18 39 41 43 14 44 32 38 9 29 33 20 28 15 49 8 48 36 16 46 11 4 37 10 45 50 5 47 26 0 31 1 19 34 35 2 21 27 30 7 25 6 22 42 23 13 24",0.982031789910159
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1586,450,42,53550,"33 49 8 48 9 29 38 32 44 14 36 11 46 3 16 43 41 18 39 40 12 17 24 13 5 50 45 10 4 37 15 1 21 0 31 26 47 22 23 42 6 25 7 30 27 2 35 34 19 28 20",0.984796129923981
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1626,459,38,48450,"16 3 12 40 39 18 41 43 36 14 44 32 38 29 9 48 8 49 33 20 15 37 4 11 45 50 31 10 1 28 19 34 35 2 27 30 7 21 0 26 47 25 6 42 23 22 5 13 24 17 46",0.978576364892882
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1719,466,43,54825,"35 34 19 1 28 20 33 49 15 8 37 10 4 48 9 29 38 32 44 14 43 41 16 36 11 45 50 26 31 0 21 7 47 5 46 3 40 18 39 12 17 24 13 23 42 22 6 25 30 27 2",0.973738769868694
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1672,461,40,51000,"7 25 6 22 42 23 13 24 17 46 3 12 40 18 39 41 16 11 50 45 10 37 8 9 48 4 36 43 14 44 32 38 29 33 20 28 49 15 1 19 34 35 2 27 30 21 0 31 26 5 47",0.977194194885971
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1537,457,44,56100,"18 40 12 17 24 13 23 42 22 5 47 6 25 7 30 27 2 35 34 19 21 0 26 50 45 46 11 4 10 31 1 28 20 49 15 37 48 8 33 29 9 38 32 44 14 43 36 16 3 41 39",0.979958534899793
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1609,451,41,52275,"14 44 32 38 9 48 8 49 29 33 20 28 15 1 19 34 35 2 21 27 30 25 7 47 22 6 42 23 13 24 17 3 12 40 39 18 41 43 16 46 45 50 5 26 0 31 10 37 4 11 36",0.984105044920525
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1616,455,45,57375,"0 1 28 20 33 29 9 38 32 44 14 43 41 18 39 40 12 3 17 24 13 23 42 5 50 45 11 46 16 36 4 37 48 8 49 15 10 31 26 47 22 6 25 7 30 27 2 35 34 19 21",0.981340704906703
"eil51",51,"steepest",6174,1000,0,426,"0 21 7 25 30 27 2 35 34 19 1 28 20 15 49 33 29 8 48 9 38 32 44 14 43 41 39 18 40 12 24 13 23 42 6 22 47 5 26 50 45 11 46 17 3 16 36 4 37 10 31",1607,450,43,54825,"22 6 42 23 24 13 5 26 0 21 31 10 45 50 11 46 3 17 12 40 18 39 41 16 36 43 14 44 32 38 9 48 29 33 49 8 4 37 15 1 20 28 19 34 35 2 27 30 25 7 47",0.984796129923981
