"problem","problem_size","optimizer","time_iterations","time_duration_ms","time_ms","optimal_cost","optimal_path","start_cost","final_cost","steps","seen_solutions","final_path","quality"
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",178862,22224,107,529650,"75 32 36 4 95 77 51 47 99 40 70 13 2 42 45 33 28 29 38 84 67 80 24 60 50 86 56 8 6 82 54 11 19 26 85 34 61 59 76 22 97 90 44 31 14 16 10 46 62 5 48 89 9 83 71 20 73 58 35 98 37 23 17 93 21 69 15 87 78 52 65 25 64 3 18 74 96 55 79 30 88 41 7 91 0 92 27 66 57 68 63 39 53 1 43 72 49 81 94 12",0.993797381116471
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",170355,23073,109,539550,"5 91 7 55 79 30 88 41 66 27 92 57 76 19 11 6 8 56 86 50 60 24 80 67 84 49 43 72 68 63 39 53 1 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 26 85 34 61 59 22 97 90 44 31 10 14 16 58 73 20 35 98 37 23 17 93 87 15 21 69 65 25 64 3 96 74 18 52 78 83 9 71 46 0 62 89 48",0.987572767130519
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",168920,22735,108,534600,"27 57 60 50 86 8 6 56 76 59 61 34 85 26 19 11 54 82 33 28 45 42 2 13 70 40 99 47 29 38 95 77 51 4 36 32 75 12 94 81 84 67 72 49 43 1 53 39 63 68 80 24 66 91 7 41 88 30 79 55 96 74 3 64 25 65 69 21 93 15 87 52 18 48 5 89 9 83 78 17 23 37 98 35 71 20 73 58 16 14 10 31 44 22 97 90 46 62 0 92",0.990050882003607
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",174611,22548,103,509850,"61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 62 5 48 89 9 83 35 98 37 23 17 78 93 21 69 15 87 52 18 74 96 3 64 65 25 55 79 30 88 41 7 91 0 46 92 27 66 57 60 50 86 56 8 6 33 28 29 38 84 67 72 80 24 68 63 39 53 1 43 49 81 94 12 75 32 36 4 95 77 51 47 99 40 70 13 2 42 45 82 54 11 19 26 85 34",0.991421910054694
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",182101,22829,106,524700,"86 50 60 57 66 41 88 30 79 55 7 0 27 92 46 62 5 48 91 74 96 3 64 25 65 69 21 93 15 87 52 18 89 78 17 23 37 98 35 83 9 71 20 73 58 16 14 10 31 44 90 97 22 76 59 61 34 85 26 19 11 54 82 33 28 45 42 2 13 70 40 99 47 29 38 95 77 51 4 36 32 75 12 94 81 1 53 39 63 43 49 84 67 72 68 80 24 8 6 56",0.98936170212766
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",166411,21895,110,544500,"51 77 95 29 47 99 40 70 13 2 42 45 28 33 82 54 11 6 8 56 19 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 83 9 89 48 5 74 18 52 78 35 98 37 23 17 93 87 15 21 69 65 25 64 3 96 55 79 30 88 41 7 91 0 62 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 38 81 94 12 75 32 36 4",0.996209510682288
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",167750,21837,105,519750,"95 29 47 99 40 70 13 2 42 45 28 33 82 54 11 26 34 85 19 56 6 8 86 50 76 61 59 22 97 90 44 31 10 14 16 58 73 20 71 35 98 37 23 83 9 89 52 78 17 93 87 15 21 69 65 25 64 3 18 74 96 55 79 30 88 41 7 91 48 5 62 0 46 92 27 66 57 60 24 80 68 63 39 53 1 43 49 72 67 84 38 81 94 12 75 32 36 4 51 77",0.996634749329149
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",166884,22242,110,544500,"63 68 80 24 86 50 60 57 92 27 66 41 88 30 79 55 96 3 64 25 65 69 21 93 15 87 52 78 17 23 37 98 35 83 9 89 5 48 18 74 7 91 0 62 46 71 20 73 58 16 14 10 31 44 90 97 22 76 59 61 19 85 34 26 11 56 8 6 54 82 33 28 45 42 2 13 70 40 99 47 51 77 95 4 36 32 75 12 94 81 38 29 84 67 72 49 43 1 53 39",0.993665410501928
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",171497,23878,110,544500,"83 71 20 73 58 35 98 37 23 17 93 87 15 21 69 65 25 64 3 52 78 18 96 55 74 91 7 41 79 30 88 53 39 63 68 60 50 24 80 84 67 72 49 43 1 81 94 12 75 32 36 4 51 77 95 38 29 28 13 47 99 70 40 2 42 45 33 82 54 6 8 86 56 11 26 34 85 19 61 59 76 22 97 90 44 14 16 10 31 46 92 57 66 27 0 62 5 48 89 9",0.981670747980116
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",173438,23612,104,514800,"73 20 71 83 9 46 90 97 76 86 50 24 80 60 57 27 92 0 62 5 48 89 18 52 78 35 98 37 23 17 93 87 15 21 69 65 25 64 3 96 55 79 30 88 41 74 91 7 66 68 63 39 53 1 43 49 72 67 84 29 38 81 94 12 75 32 36 4 95 77 51 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 22 44 31 10 14 16 58",0.983620980395032
"kroA100",100,"steepest",758,1000,1,21282,"0 46 92 27 66 57 60 50 86 24 80 68 63 39 53 1 43 49 72 67 84 81 94 12 75 32 36 4 51 77 95 38 29 47 99 40 70 13 2 42 45 28 33 82 54 6 8 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 58 73 20 71 9 83 35 98 37 23 17 78 52 87 15 93 21 69 65 25 64 3 96 55 79 30 88 41 7 91 74 18 89 48 5 62",176788,23641,106,524700,"73 20 71 83 9 89 48 5 62 46 90 97 22 76 19 56 86 50 60 57 27 92 0 91 7 74 18 52 78 17 23 37 35 98 93 87 15 21 69 65 25 64 3 96 55 79 30 88 41 66 63 39 53 1 43 49 81 94 12 75 32 36 4 95 77 51 47 99 40 70 13 2 42 45 28 29 38 84 67 72 68 80 24 8 6 33 82 54 11 26 85 34 61 59 44 31 10 14 16 58",0.983408361071601
