"problem","problem_size","optimizer","time_iterations","time_duration_ms","time_ms","optimal_cost","optimal_path","start_cost","final_cost","steps","seen_solutions","final_path","quality"
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",177273,21557,108,534600,"50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 18 91 9 98 13 59 3 92 11 39 52 0 84 26 14 12 78 63 19 41 54 66 30 46 74 21 7 16 24 89 33 57 97 87 27 38 71 70 37 55 42 4 85 49 82 61 53 5 64 79 76 29 67 1 34 22 90 94 93 75 69 20 88 40 58 72 2 68 73 56 35 99 32 44 80 96 95 86 51 10 83 47 65 43 62",0.994000594000594
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",175902,22684,107,529650,"88 40 58 72 2 68 73 99 32 80 96 44 35 56 13 98 9 91 18 65 47 95 86 51 10 83 43 62 50 15 36 60 8 77 81 6 25 31 23 52 0 84 14 26 39 11 45 28 17 48 92 3 59 76 64 12 78 63 19 41 54 66 30 46 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 49 71 82 61 53 79 29 67 34 1 94 93 90 75 69 22 20",0.985632610632611
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",167055,22153,115,569250,"53 1 34 67 29 76 79 64 30 46 66 54 41 19 63 78 12 14 26 84 0 52 45 23 31 25 6 81 77 8 50 62 43 83 10 51 86 95 47 65 15 36 60 28 17 48 11 39 59 3 92 98 18 91 9 44 96 80 32 99 73 56 35 13 68 2 72 58 40 88 20 22 69 75 90 93 94 85 49 61 82 71 70 4 42 55 37 38 27 87 97 57 33 89 24 16 7 21 74 5",0.98957528957529
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",161901,21056,117,579150,"63 19 41 54 66 46 30 64 76 79 5 53 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 34 1 67 29 20 88 40 58 72 2 68 59 3 92 18 91 9 98 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 8 77 81 6 25 31 23 60 36 17 48 28 45 11 39 52 0 84 26 14 12 78",0.997720522720523
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",150610,21543,107,529650,"71 82 61 49 94 93 90 75 69 20 88 40 58 72 2 68 59 3 92 18 98 13 35 56 73 99 32 80 96 44 9 91 65 47 95 86 51 10 83 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52 0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 22 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85",0.994104544104544
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",171437,23495,100,495000,"90 93 94 85 4 42 55 27 87 57 97 38 37 70 71 49 61 82 74 21 7 89 33 24 16 41 54 63 19 78 12 64 66 30 46 5 53 79 1 34 22 67 29 76 59 3 13 9 91 18 98 92 48 11 39 26 14 84 0 52 45 23 31 25 6 81 77 8 60 28 17 36 15 50 62 43 65 47 83 10 51 86 95 96 80 44 32 99 35 56 73 68 2 72 58 40 88 20 69 75",0.97961092961093
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",164138,21977,110,544500,"79 5 53 74 21 7 16 24 89 33 57 97 87 27 37 38 71 82 61 49 70 55 42 4 85 94 93 90 75 69 20 22 34 1 67 29 76 40 88 58 72 2 68 13 98 18 91 9 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 60 8 77 81 6 25 31 23 28 17 48 45 11 92 3 59 39 52 0 84 26 14 12 78 63 19 41 54 66 46 30 64",0.990882090882091
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",158839,22003,101,499950,"84 26 14 78 12 64 79 76 29 67 1 34 22 90 49 70 71 82 61 21 74 53 5 46 30 66 63 19 54 41 7 16 24 89 33 57 97 87 27 38 37 55 42 4 85 94 93 75 69 20 88 40 58 72 2 68 59 3 92 48 17 28 36 18 91 9 98 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 8 77 81 6 25 60 31 23 45 11 39 52 0",0.990689040689041
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",153590,21108,104,514800,"83 10 51 86 95 96 80 44 32 99 35 56 73 68 2 72 58 40 88 20 22 69 75 90 93 94 49 61 82 71 70 85 4 42 55 37 38 27 87 97 57 33 89 24 16 7 21 74 5 53 1 34 67 29 76 79 64 30 46 66 54 41 19 63 78 12 14 26 84 0 52 39 11 3 59 13 9 91 18 98 92 48 17 36 28 45 23 31 60 25 6 81 77 8 15 50 62 43 65 47",0.997334422334422
"kroC100",100,"steepest",755,1001,1,20749,"0 84 26 14 12 78 63 19 41 54 66 46 30 64 79 76 29 67 34 1 53 5 74 21 7 16 24 89 33 57 97 87 27 38 37 70 55 42 4 85 71 82 61 49 94 93 90 75 69 22 20 88 40 58 72 2 68 59 3 92 98 18 91 9 13 35 56 73 99 32 44 80 96 95 86 51 10 83 47 65 43 62 50 15 36 8 77 81 6 25 60 31 23 45 28 17 48 11 39 52",163975,22329,103,509850,"37 38 27 87 97 57 33 89 24 16 7 21 74 53 5 46 54 41 19 63 66 30 64 79 76 59 3 11 39 26 12 78 14 84 0 52 23 31 6 81 77 8 25 60 36 28 45 17 48 92 98 91 18 65 62 15 50 43 47 83 10 51 86 95 96 80 44 32 99 9 13 35 56 73 68 2 72 58 40 88 20 29 67 1 34 22 69 75 90 93 94 49 61 82 71 85 4 42 55 70",0.988268488268488
