"problem","problem_size","optimizer","time_iterations","time_duration_ms","time_ms","optimal_cost","optimal_path","start_cost","final_cost","steps","seen_solutions","final_path","quality"
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",124224,15880,117,638820,"53 56 104 58 55 54 49 47 44 48 39 103 32 27 22 19 29 30 31 28 21 20 102 14 10 9 6 5 1 0 2 11 7 8 4 3 12 13 16 15 18 23 26 17 24 25 35 36 41 34 33 37 38 59 60 64 65 86 87 93 94 99 98 97 92 89 88 85 79 75 80 74 73 69 68 72 71 76 78 83 101 100 96 95 91 90 84 82 81 77 70 67 66 63 61 62 57 52 51 45 42 40 43 46 50",0.985900454731784
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",121223,15675,111,606060,"46 49 47 44 48 39 103 31 30 29 19 102 28 21 20 14 10 9 6 5 1 0 2 7 8 11 15 16 17 24 25 26 23 18 22 27 32 35 36 13 4 3 12 33 34 37 38 59 60 64 65 86 87 93 94 99 98 97 89 88 92 101 100 96 95 91 90 84 85 83 82 81 77 70 67 66 63 71 76 78 72 75 79 80 74 73 68 69 62 61 104 58 55 54 50 53 56 57 52 51 45 42 41 40 43",0.987854752757467
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",118780,14683,117,638820,"2 0 1 5 6 9 10 14 20 21 28 102 11 19 22 27 29 30 31 32 26 23 18 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 63 66 67 70 71 76 78 79 75 72 68 69 73 74 80 89 88 85 83 77 81 82 84 90 91 95 96 100 101 92 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7",0.997311648569549
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",121899,15225,116,633360,"83 77 81 82 84 90 91 95 96 100 101 92 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 16 15 17 24 25 26 23 18 11 2 0 1 5 6 9 10 14 20 21 28 102 19 22 27 29 30 31 32 35 36 41 40 42 45 51 46 43 103 39 48 44 47 49 54 55 58 56 53 50 52 57 62 61 104 63 66 67 70 71 76 79 75 72 68 69 73 74 80 89 88 85 78",0.992144675252867
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",123066,15688,116,633360,"39 48 47 49 54 55 58 104 63 68 69 73 74 80 79 75 72 78 76 71 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 85 88 89 97 98 99 94 93 87 86 65 64 59 60 62 61 57 52 51 56 53 50 46 44 103 35 36 40 43 45 42 41 38 37 34 33 13 12 3 4 8 7 2 0 1 5 6 9 10 11 18 15 16 17 24 25 23 26 32 27 22 19 102 14 20 21 28 29 30 31",0.987730821663155
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",132195,14857,111,606060,"7 2 0 1 5 6 9 10 11 19 22 27 102 14 20 21 28 29 30 31 32 26 23 18 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 88 85 78 76 71 79 75 72 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 97 98 89 94 99 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8",0.995652878537994
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",120149,15047,126,687960,"42 41 40 43 46 50 53 56 55 54 49 47 44 48 39 103 32 31 30 29 28 21 20 102 14 10 9 6 5 1 0 2 11 19 22 27 18 23 26 35 36 25 24 17 15 16 7 8 4 3 12 13 33 34 37 38 59 60 64 65 86 87 93 94 99 98 97 89 88 92 101 100 96 95 91 90 84 82 81 77 70 67 66 71 76 78 83 85 79 80 74 73 69 68 75 72 63 58 104 61 62 57 52 51 45",0.993841577928825
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",124028,15525,116,633360,"5 1 0 2 7 8 11 19 22 27 18 23 26 25 24 17 15 16 4 3 12 13 33 34 37 38 41 40 42 45 51 52 57 43 46 50 53 56 104 61 62 60 59 64 65 86 87 93 99 94 89 88 98 97 92 101 100 96 95 91 90 84 83 82 81 77 70 67 66 76 78 85 79 80 74 73 69 68 72 75 71 63 58 55 54 49 47 44 48 39 103 36 35 32 31 30 29 28 21 20 102 14 10 9 6",0.9892847269226
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",109048,15358,103,562380,"95 96 100 101 92 97 98 89 94 99 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 16 24 17 15 8 7 2 0 1 5 6 9 10 11 18 23 25 26 27 22 19 102 14 20 21 28 29 30 31 32 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 88 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91",0.990876764826449
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",115912,15629,113,616980,"75 72 63 104 56 57 52 51 45 42 40 41 38 37 34 33 13 12 3 4 8 7 16 15 17 24 25 26 23 18 27 22 19 11 2 0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 35 36 103 43 46 50 53 49 47 44 39 48 54 55 58 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 97 98 88 89 94 99 93 87 86 65 64 59 60 62 61 69 68 73 74 80 79 85 78 76 71",0.988293278168108
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",116478,15145,111,606060,"37 38 59 60 64 65 86 87 93 94 99 98 97 92 101 100 96 95 91 90 84 82 81 83 78 76 71 77 70 67 66 63 72 75 79 85 88 89 80 74 73 68 69 62 61 57 52 51 45 42 40 41 36 35 103 43 46 50 53 56 104 58 55 54 49 47 44 48 39 31 30 29 32 25 24 17 16 15 18 23 26 27 22 19 102 28 21 20 14 10 9 6 5 1 0 2 11 7 8 4 3 12 13 33 34",0.992907328140938
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",123921,15770,123,671580,"74 73 68 69 62 61 63 104 58 55 54 49 47 44 48 39 31 30 29 28 21 20 14 102 19 22 27 32 35 103 43 46 50 53 56 57 52 51 45 42 40 41 36 25 24 17 16 15 26 23 18 11 10 9 6 5 1 0 2 7 8 4 3 12 13 33 34 37 38 59 60 64 65 86 87 93 99 94 89 98 97 101 100 96 95 91 90 92 88 85 84 82 81 77 83 78 76 70 67 66 71 72 75 79 80",0.986949102452882
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",126574,14401,110,600600,"5 1 0 2 7 8 4 3 12 13 33 34 37 38 59 60 64 65 86 87 93 94 99 98 97 89 88 92 101 100 96 95 91 90 84 83 82 81 77 70 67 66 63 71 76 78 85 79 75 72 80 74 73 68 69 62 61 57 52 51 45 42 41 40 43 46 50 53 56 104 58 55 54 49 47 44 48 39 103 35 36 25 24 17 16 15 26 23 18 11 19 22 27 32 31 30 29 28 21 20 102 14 10 9 6",1
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",127744,15146,116,633360,"7 2 0 1 5 6 9 10 14 11 15 16 17 24 25 18 23 26 32 27 22 19 102 20 21 28 29 30 31 103 39 48 44 47 49 50 46 43 40 35 36 41 42 45 51 52 57 56 53 54 55 58 104 61 62 63 68 69 73 74 80 72 75 79 85 78 76 71 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8",0.992897794979837
"lin105",105,"steepest",649,1001,1,14379,"0 1 5 6 9 10 14 102 20 21 28 29 30 31 32 27 22 19 11 18 23 26 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 72 75 79 85 78 76 71 63 66 67 70 77 81 82 83 84 90 91 95 96 100 101 92 88 89 97 98 99 94 93 87 86 65 64 60 59 38 37 34 33 13 12 3 4 8 7 2",128699,14896,113,616980,"3 4 8 7 2 0 1 5 6 9 10 14 20 21 28 102 11 19 22 27 29 30 31 32 26 23 18 15 16 17 24 25 35 36 41 40 42 45 51 52 57 56 53 50 46 43 103 39 48 44 47 49 54 55 58 104 61 62 69 68 73 74 80 88 85 79 75 72 63 71 76 78 83 66 67 70 77 81 82 84 90 91 95 96 100 101 92 97 98 89 94 99 93 87 86 65 64 60 59 38 37 34 33 13 12",0.99528108525506
