problem,optimizer,final_cost,optimal_cost,quality,similarity
ch130,steepest,6659,6105,0.9867933208844141,0.7153846153846154
ch130,steepest,6353,6105,0.995074558198696,0.7
ch130,steepest,6650,6105,0.9870368866877759,0.6846153846153846
ch130,steepest,6471,6105,0.99188113988796,0.676923076923077
ch130,steepest,6534,6105,0.9901761792644308,0.6692307692307692
ch130,steepest,6630,6105,0.9875781440285779,0.7076923076923077
ch130,steepest,6507,6105,0.990906876674515,0.6846153846153846
ch130,steepest,6409,6105,0.993559037644448,0.7230769230769231
ch130,steepest,6563,6105,0.9893913561202671,0.7076923076923077
ch130,steepest,6415,6105,0.993396660442207,0.676923076923077
ch130,steepest,6630,6105,0.9875781440285779,0.6384615384615384
ch130,steepest,6435,6105,0.9928554031014051,0.6846153846153846
ch130,steepest,6591,6105,0.988633595843144,0.6692307692307692
ch130,steepest,6763,6105,0.9839787827122409,0.7230769230769231
ch130,steepest,6717,6105,0.9852236745960871,0.6384615384615384
ch130,steepest,6623,6105,0.9877675840978589,0.676923076923077
ch130,steepest,6520,6105,0.9905550594029928,0.676923076923077
ch130,steepest,6710,6105,0.9854131146653679,0.6846153846153846
ch130,steepest,6444,6105,0.9926118372980429,0.7307692307692307
ch130,steepest,6615,6105,0.9879840870341801,0.6923076923076923
ch130,steepest,6665,6105,0.9866309436821741,0.6615384615384615
ch130,steepest,6442,6105,0.9926659630321241,0.7
ch130,steepest,6498,6105,0.991150442477876,0.7153846153846154
ch130,steepest,6665,6105,0.9866309436821741,0.6846153846153846
ch130,steepest,6363,6105,0.9948039295282941,0.7461538461538462
ch130,steepest,6759,6105,0.9840870341804008,0.7
ch130,steepest,6515,6105,0.9906903737381941,0.7
ch130,steepest,6477,6105,0.9917187626857191,0.7230769230769231
ch130,steepest,6652,6105,0.9869827609536949,0.6153846153846154
ch130,steepest,6672,6105,0.986441503612893,0.7538461538461538
ch130,steepest,6588,6105,0.988714784444264,0.7461538461538462
ch130,steepest,6497,6105,0.9911775053449159,0.7153846153846154
ch130,steepest,6775,6105,0.983654028307759,0.6076923076923076
ch130,steepest,6595,6105,0.9885253443749829,0.6923076923076923
ch130,steepest,6438,6105,0.992774214500284,0.676923076923077
ch130,steepest,6658,6105,0.986820383751455,0.7
ch130,steepest,6631,6105,0.9875510811615379,0.7
ch130,steepest,6513,6105,0.990744499472274,0.7230769230769231
ch130,steepest,6488,6105,0.9914210711482769,0.6846153846153846
ch130,steepest,6557,6105,0.9895537333225078,0.8
ch130,steepest,6373,6105,0.9945333008578929,0.7461538461538462
ch130,steepest,6799,6105,0.9830045194987959,0.5923076923076923
ch130,steepest,6610,6105,0.9881194013693809,0.6384615384615384
ch130,steepest,6886,6105,0.980650050066304,0.6230769230769231
ch130,steepest,6330,6105,0.995697004140619,0.8
ch130,steepest,6363,6105,0.9948039295282941,0.7538461538461538
ch130,steepest,6589,6105,0.9886877215772242,0.7384615384615385
ch130,steepest,6815,6105,0.982571513626153,0.676923076923077
ch130,steepest,6489,6105,0.991394008281237,0.7307692307692307
ch130,steepest,6651,6105,0.987009823820736,0.7692307692307693
ch130,steepest,6516,6105,0.9906633108711541,0.7076923076923077
ch130,steepest,6479,6105,0.9916646369516391,0.7384615384615385
ch130,steepest,6523,6105,0.9904738708018729,0.7307692307692307
ch130,steepest,6429,6105,0.993017780303645,0.7
ch130,steepest,6459,6105,0.9922058942924409,0.6230769230769231
ch130,steepest,6519,6105,0.990582122270033,0.6461538461538462
ch130,steepest,6694,6105,0.98584612053801,0.676923076923077
ch130,steepest,6451,6105,0.992422397228762,0.7692307692307693
ch130,steepest,6350,6105,0.9951557467998159,0.7307692307692307
ch130,steepest,6507,6105,0.990906876674515,0.7
ch130,steepest,6604,6105,0.988281778571622,0.7076923076923077
ch130,steepest,6520,6105,0.9905550594029928,0.6923076923076923
ch130,steepest,6877,6105,0.980893615869665,0.6
ch130,steepest,6517,6105,0.990636248004114,0.6692307692307692
ch130,steepest,6542,6105,0.98995967632811,0.7230769230769231
ch130,steepest,6561,6105,0.989445481854348,0.7307692307692307
ch130,steepest,6482,6105,0.9915834483505179,0.7307692307692307
ch130,steepest,6876,6105,0.9809206787367049,0.6384615384615384
ch130,steepest,6631,6105,0.9875510811615379,0.7230769230769231
ch130,steepest,6457,6105,0.992260020026522,0.7384615384615385
ch130,steepest,6469,6105,0.99193526562204,0.7384615384615385
ch130,steepest,6474,6105,0.9917999512868391,0.6615384615384615
ch130,steepest,6595,6105,0.9885253443749829,0.7076923076923077
ch130,steepest,6525,6105,0.990419745067792,0.6692307692307692
ch130,steepest,6815,6105,0.982571513626153,0.6076923076923076
ch130,steepest,6344,6105,0.995318124002057,0.7384615384615385
ch130,steepest,6829,6105,0.982192633487592,0.6538461538461539
ch130,steepest,6490,6105,0.991366945414197,0.6384615384615384
ch130,steepest,6538,6105,0.990067927796271,0.7153846153846154
ch130,steepest,6508,6105,0.9908798138074749,0.6384615384615384
ch130,steepest,6489,6105,0.991394008281237,0.7307692307692307
ch130,steepest,6815,6105,0.982571513626153,0.6692307692307692
ch130,steepest,6593,6105,0.9885794701090629,0.6461538461538462
ch130,steepest,6581,6105,0.988904224513545,0.676923076923077
ch130,steepest,6477,6105,0.9917187626857191,0.7307692307692307
ch130,steepest,6516,6105,0.9906633108711541,0.6615384615384615
ch130,steepest,6521,6105,0.990527996535953,0.6384615384615384
ch130,steepest,6464,6105,0.992070579957241,0.7
ch130,steepest,6499,6105,0.991123379610836,0.7538461538461538
ch130,steepest,6702,6105,0.9856296176016891,0.6615384615384615
ch130,steepest,6448,6105,0.992503585829883,0.6692307692307692
ch130,steepest,6508,6105,0.9908798138074749,0.6615384615384615
ch130,steepest,6451,6105,0.992422397228762,0.7230769230769231
ch130,steepest,6670,6105,0.986495629346973,0.6153846153846154
ch130,steepest,6489,6105,0.991394008281237,0.6384615384615384
ch130,steepest,6711,6105,0.985386051798328,0.6153846153846154
ch130,steepest,6628,6105,0.987632269762659,0.7153846153846154
ch130,steepest,6548,6105,0.989797299125869,0.6846153846153846
ch130,steepest,6582,6105,0.988877161646505,0.7461538461538462
ch130,steepest,6550,6105,0.9897431733917891,0.7153846153846154
ch130,steepest,6463,6105,0.9920976428242808,0.6923076923076923
ch130,steepest,6522,6105,0.9905009336689129,0.676923076923077
ch130,steepest,6463,6105,0.9920976428242808,0.7153846153846154
ch130,steepest,6730,6105,0.984871857324565,0.6461538461538462
ch130,steepest,6577,6105,0.9890124759817049,0.7153846153846154
ch130,steepest,6553,6105,0.9896619847906691,0.6615384615384615
ch130,steepest,6623,6105,0.9877675840978589,0.7
ch130,steepest,6358,6105,0.994939243863495,0.7384615384615385
ch130,steepest,6990,6105,0.97783551189413,0.6461538461538462
ch130,steepest,6472,6105,0.9918540770209201,0.7461538461538462
ch130,steepest,6580,6105,0.9889312873805849,0.7615384615384615
ch130,steepest,6735,6105,0.984736542989364,0.6307692307692307
ch130,steepest,6405,6105,0.993667289112609,0.7769230769230769
ch130,steepest,6674,6105,0.9863873778788119,0.6538461538461539
ch130,steepest,6762,6105,0.9840058455792808,0.7153846153846154
ch130,steepest,6521,6105,0.990527996535953,0.7384615384615385
ch130,steepest,6357,6105,0.994966306730535,0.7307692307692307
ch130,steepest,6842,6105,0.9818408162160699,0.5692307692307692
ch130,steepest,6668,6105,0.9865497550810529,0.7307692307692307
ch130,steepest,6418,6105,0.993315471841087,0.7153846153846154
ch130,steepest,6666,6105,0.9866038808151341,0.676923076923077
ch130,steepest,6385,6105,0.9942085464534108,0.6538461538461539
ch130,steepest,6344,6105,0.995318124002057,0.8
ch130,steepest,6857,6105,0.981434873210468,0.6
ch130,steepest,6554,6105,0.989634921923628,0.6923076923076923
ch130,steepest,6561,6105,0.989445481854348,0.7307692307692307
ch130,steepest,6907,6105,0.9800817298584609,0.5846153846153846
ch130,steepest,6552,6105,0.9896890476577092,0.7461538461538462
ch130,steepest,6543,6105,0.9899326134610699,0.6538461538461539
ch130,steepest,6408,6105,0.9935861005114879,0.7307692307692307
ch130,steepest,6655,6105,0.9869015723525749,0.7
ch130,steepest,6684,6105,0.9861167492084109,0.6846153846153846
ch130,steepest,6443,6105,0.9926389001650829,0.7692307692307693
