problem,optimizer,final_cost,optimal_cost,quality,similarity
kroA100,steepest,22224,21282,0.993797381116471,0.71
kroA100,steepest,23073,21282,0.987572767130519,0.75
kroA100,steepest,22735,21282,0.990050882003607,0.8
kroA100,steepest,22548,21282,0.9914219100546942,0.79
kroA100,steepest,22829,21282,0.9893617021276601,0.82
kroA100,steepest,21895,21282,0.9962095106822879,0.84
kroA100,steepest,21837,21282,0.996634749329149,0.78
kroA100,steepest,22242,21282,0.993665410501928,0.83
kroA100,steepest,23878,21282,0.981670747980116,0.67
kroA100,steepest,23612,21282,0.983620980395032,0.77
kroA100,steepest,23641,21282,0.9834083610716009,0.73
kroA100,steepest,23467,21282,0.984684077012185,0.65
kroA100,steepest,22967,21282,0.988349927416162,0.76
kroA100,steepest,22220,21282,0.993826707919703,0.78
kroA100,steepest,23794,21282,0.982286610847984,0.68
kroA100,steepest,22275,21282,0.993423464375266,0.8
kroA100,steepest,22787,21282,0.9896696335615942,0.72
kroA100,steepest,21901,21282,0.9961655204774399,0.8
kroA100,steepest,22715,21282,0.990197516019766,0.77
kroA100,steepest,22372,21282,0.9927122893968939,0.78
kroA100,steepest,23210,21282,0.9865683241198291,0.76
kroA100,steepest,22725,21282,0.990124199011687,0.8
kroA100,steepest,23540,21282,0.9841488628532049,0.69
kroA100,steepest,22914,21282,0.988738507558984,0.74
kroA100,steepest,22575,21282,0.99122395413288,0.76
kroA100,steepest,23303,21282,0.9858864759446899,0.73
kroA100,steepest,22684,21282,0.990424798744813,0.8
kroA100,steepest,22165,21282,0.9942299514641411,0.84
kroA100,steepest,22962,21282,0.988386585920202,0.79
kroA100,steepest,22232,21282,0.9937387275100079,0.82
kroA100,steepest,22418,21282,0.992375031159728,0.84
kroA100,steepest,22826,21282,0.989383697230083,0.78
kroA100,steepest,22288,21282,0.9933281522647621,0.83
kroA100,steepest,23452,21282,0.984794052524305,0.75
kroA100,steepest,21725,21282,0.9974558998196401,0.83
kroA100,steepest,21954,21282,0.9957769403346189,0.83
kroA100,steepest,22962,21282,0.988386585920202,0.78
kroA100,steepest,23001,21282,0.9881006495886908,0.71
kroA100,steepest,22908,21282,0.9887824977638309,0.7
kroA100,steepest,21850,21282,0.9965394372186459,0.89
kroA100,steepest,22028,21282,0.9952343944748299,0.83
kroA100,steepest,21879,21282,0.996326817895215,0.86
kroA100,steepest,22682,21282,0.9904394621464291,0.78
kroA100,steepest,22740,21282,0.990014223499567,0.75
kroA100,steepest,23302,21282,0.9858938076454971,0.81
kroA100,steepest,23058,21282,0.9876827426426379,0.79
kroA100,steepest,21880,21282,0.996319486194407,0.85
kroA100,steepest,23692,21282,0.9830344443303961,0.73
kroA100,steepest,22474,21282,0.9919644559144829,0.8
kroA100,steepest,22073,21282,0.994904467938472,0.78
kroA100,steepest,22227,21282,0.993775386014048,0.76
kroA100,steepest,22033,21282,0.9951977359707901,0.79
kroA100,steepest,23121,21282,0.9872208454917372,0.7
kroA100,steepest,23784,21282,0.9823599278560642,0.71
kroA100,steepest,22607,21282,0.990989339707025,0.87
kroA100,steepest,24070,21282,0.980263061424989,0.67
kroA100,steepest,23286,21282,0.9860111148584251,0.74
kroA100,steepest,21758,21282,0.997213953692978,0.87
kroA100,steepest,22244,21282,0.993650747100312,0.86
kroA100,steepest,22298,21282,0.9932548352566829,0.83
kroA100,steepest,22558,21282,0.9913485930466149,0.75
kroA100,steepest,22568,21282,0.991275276038535,0.84
kroA100,steepest,22208,21282,0.9939146883293991,0.76
kroA100,steepest,24470,21282,0.9773303811018079,0.67
kroA100,steepest,24512,21282,0.977022449667874,0.7
kroA100,steepest,23371,21282,0.9853879202897491,0.71
kroA100,steepest,22795,21282,0.98961097995513,0.71
kroA100,steepest,21774,21282,0.9970966464800501,0.82
kroA100,steepest,23030,21282,0.987888030265261,0.82
kroA100,steepest,22458,21282,0.9920817631274099,0.86
kroA100,steepest,22513,21282,0.9916785195829729,0.77
kroA100,steepest,21450,21282,0.999472117541827,0.92
kroA100,steepest,22212,21282,0.9938853615261669,0.83
kroA100,steepest,22440,21282,0.9922137337419531,0.79
kroA100,steepest,22609,21282,0.990974676305409,0.73
kroA100,steepest,23470,21282,0.984662081909761,0.71
kroA100,steepest,22810,21282,0.989501004443011,0.78
kroA100,steepest,21983,21282,0.9955643210111881,0.75
kroA100,steepest,23692,21282,0.9830344443303961,0.76
kroA100,steepest,22771,21282,0.9897869407745209,0.8
kroA100,steepest,22266,21282,0.993489449682537,0.77
kroA100,steepest,22828,21282,0.989369033828467,0.77
kroA100,steepest,22080,21282,0.994853146032817,0.78
kroA100,steepest,22199,21282,0.9939806736366701,0.79
kroA100,steepest,22754,21282,0.9899115796882559,0.77
kroA100,steepest,22650,21282,0.9906740765722829,0.8
kroA100,steepest,21946,21282,0.995835593941082,0.94
kroA100,steepest,23234,21282,0.9863923633004379,0.72
kroA100,steepest,22380,21282,0.9926536357904309,0.78
kroA100,steepest,22764,21282,0.9898382626801759,0.79
kroA100,steepest,22668,21282,0.99054210595774,0.74
kroA100,steepest,21873,21282,0.9963708081000631,0.82
kroA100,steepest,22564,21282,0.991304602841767,0.75
kroA100,steepest,23595,21282,0.983745619308767,0.72
kroA100,steepest,21958,21282,0.9957476135313872,0.8
kroA100,steepest,22341,21282,0.9929395721219408,0.81
kroA100,steepest,23038,21282,0.987829376658797,0.72
kroA100,steepest,22219,21282,0.993834039620511,0.77
kroA100,steepest,23076,21282,0.9875507720280949,0.75
kroA100,steepest,21905,21282,0.996136193674208,0.78
kroA100,steepest,23510,21282,0.9843688138774429,0.75
kroA100,steepest,22772,21282,0.989779609073713,0.75
kroA100,steepest,24579,21282,0.9765312257137411,0.64
kroA100,steepest,21951,21282,0.995798935437043,0.82
kroA100,steepest,22095,21282,0.994743170520697,0.84
kroA100,steepest,22737,21282,0.990036218601991,0.74
kroA100,steepest,21710,21282,0.997565875331759,0.93
kroA100,steepest,22172,21282,0.994178629558485,0.83
kroA100,steepest,21939,21282,0.9958869158467379,0.78
kroA100,steepest,23199,21282,0.9866489728287171,0.79
kroA100,steepest,22886,21282,0.9889437951816059,0.71
kroA100,steepest,22029,21282,0.995227062774022,0.83
kroA100,steepest,22617,21282,0.9909160226989459,0.76
kroA100,steepest,21407,21282,0.999787380676569,0.92
kroA100,steepest,22100,21282,0.9947065120166579,0.81
kroA100,steepest,22498,21282,0.991788495095092,0.79
kroA100,steepest,23125,21282,0.987191518688505,0.75
kroA100,steepest,24760,21282,0.975204187867501,0.68
kroA100,steepest,23369,21282,0.985402583691365,0.78
kroA100,steepest,22161,21282,0.9942592782673721,0.86
kroA100,steepest,22329,21282,0.9930275525316361,0.85
kroA100,steepest,22588,21282,0.9911286420223759,0.79
kroA100,steepest,21751,21282,0.997265275598633,0.85
kroA100,steepest,23551,21282,0.9840682141443171,0.71
kroA100,steepest,23121,21282,0.9872208454917372,0.76
kroA100,steepest,23478,21282,0.984603428303298,0.68
kroA100,steepest,21872,21282,0.996378139800871,0.82
kroA100,steepest,22683,21282,0.9904321304456211,0.82
kroA100,steepest,22352,21282,0.992858923413053,0.72
kroA100,steepest,22809,21282,0.9895083361438191,0.75
kroA100,steepest,22806,21282,0.9895303312462421,0.79
kroA100,steepest,22835,21282,0.989317711922812,0.81
kroA100,steepest,21957,21282,0.995754945232195,0.79
kroA100,steepest,23240,21282,0.9863483730955909,0.77
kroA100,steepest,22012,21282,0.995351701687758,0.74
kroA100,steepest,23222,21282,0.986480343710134,0.73
kroA100,steepest,22088,21282,0.9947944924263531,0.78
kroA100,steepest,23091,21282,0.9874407965159759,0.73
kroA100,steepest,23424,21282,0.9849993401469269,0.77
kroA100,steepest,23528,21282,0.9842368432629,0.78
kroA100,steepest,22751,21282,0.9899335747906801,0.83
kroA100,steepest,23288,21282,0.985996451456809,0.76
kroA100,steepest,22721,21282,0.990153525814918,0.75
kroA100,steepest,22602,21282,0.991025998211065,0.67
kroA100,steepest,22345,21282,0.9929102453187092,0.8
kroA100,steepest,23701,21282,0.982968459023124,0.74
kroA100,steepest,23910,21282,0.9814361335542621,0.69
kroA100,steepest,22776,21282,0.989750282270481,0.8
kroA100,steepest,24599,21282,0.976384591697582,0.69
kroA100,steepest,22627,21282,0.990842705690866,0.76
kroA100,steepest,22960,21282,0.988401249321818,0.68
kroA100,steepest,23160,21282,0.9869349091602271,0.73
kroA100,steepest,23039,21282,0.987822044957989,0.74
kroA100,steepest,23482,21282,0.984574101500066,0.71
kroA100,steepest,22492,21282,0.99183248529994,0.82
kroA100,steepest,23194,21282,0.986685631332757,0.76
kroA100,steepest,23484,21282,0.98455943809845,0.78
kroA100,steepest,24291,21282,0.978642755546432,0.67
kroA100,steepest,23093,21282,0.98742613311436,0.78
kroA100,steepest,21726,21282,0.997448568118832,0.79
kroA100,steepest,22284,21282,0.9933574790679941,0.76
kroA100,steepest,22941,21282,0.9885405516371691,0.7
kroA100,steepest,22467,21282,0.992015777820139,0.74
kroA100,steepest,23329,21282,0.985695851723683,0.7
kroA100,steepest,22052,21282,0.995058433655439,0.75
kroA100,steepest,21929,21282,0.995960232854817,0.84
kroA100,steepest,22242,21282,0.993665410501928,0.76
kroA100,steepest,22612,21282,0.9909526812029851,0.8
kroA100,steepest,22359,21282,0.9928076015073979,0.83
kroA100,steepest,22819,21282,0.9894350191357391,0.68
kroA100,steepest,24671,21282,0.9758567092394091,0.7
kroA100,steepest,22157,21282,0.9942886050706039,0.74
kroA100,steepest,22249,21282,0.9936140885962729,0.84
kroA100,steepest,22848,21282,0.989222399812308,0.71
kroA100,steepest,22944,21282,0.988518556534745,0.75
kroA100,steepest,22327,21282,0.9930422159332521,0.73
kroA100,steepest,22844,21282,0.9892517266155401,0.82
kroA100,steepest,21453,21282,0.9994501224394029,0.89
kroA100,steepest,22436,21282,0.9922430605451851,0.79
kroA100,steepest,22066,21282,0.9949557898441279,0.81
kroA100,steepest,23073,21282,0.987572767130519,0.71
kroA100,steepest,23193,21282,0.9866929630335641,0.73
kroA100,steepest,21881,21282,0.9963121544935991,0.77
kroA100,steepest,23386,21282,0.98527794477763,0.7
kroA100,steepest,21425,21282,0.999655410062026,0.86
kroA100,steepest,23014,21282,0.988005337478188,0.81
kroA100,steepest,22619,21282,0.9909013592973299,0.73
kroA100,steepest,22199,21282,0.9939806736366701,0.8
kroA100,steepest,22179,21282,0.9941273076528292,0.73
kroA100,steepest,22154,21282,0.994310600173028,0.76
kroA100,steepest,22412,21282,0.9924190213645759,0.81
kroA100,steepest,24645,21282,0.976047333460416,0.63
kroA100,steepest,23753,21282,0.982587210581111,0.69
kroA100,steepest,22258,21282,0.993548103289001,0.82
kroA100,steepest,22878,21282,0.98900244878807,0.72
kroA100,steepest,23252,21282,0.9862603926858949,0.74
kroA100,steepest,23233,21282,0.986399695001246,0.76
kroA100,steepest,22006,21282,0.995395691892605,0.86
kroA100,steepest,22992,21282,0.9881666348959631,0.81
kroA100,steepest,23672,21282,0.9831810783465551,0.72
kroA100,steepest,21670,21282,0.997859143364078,0.91
kroA100,steepest,22571,21282,0.9912532809361109,0.72
kroA100,steepest,23923,21282,0.9813408214437579,0.68
kroA100,steepest,23313,21282,0.9858131589366099,0.76
kroA100,steepest,22306,21282,0.9931961816502192,0.76
kroA100,steepest,22143,21282,0.994391248881916,0.78
kroA100,steepest,23008,21282,0.9880493276830359,0.79
kroA100,steepest,21836,21282,0.9966420810299571,0.82
kroA100,steepest,23226,21282,0.9864510169069021,0.74
kroA100,steepest,22331,21282,0.99301288913002,0.88
kroA100,steepest,22357,21282,0.9928222649090142,0.81
kroA100,steepest,23082,21282,0.987506781823247,0.79
kroA100,steepest,22521,21282,0.991619865976509,0.77
kroA100,steepest,22965,21282,0.9883645908177779,0.76
kroA100,steepest,22976,21282,0.9882839421088899,0.7
kroA100,steepest,23495,21282,0.984478789389563,0.7
kroA100,steepest,23744,21282,0.9826531958883821,0.72
kroA100,steepest,22831,21282,0.989347038726044,0.82
kroA100,steepest,22546,21282,0.9914365734563101,0.79
kroA100,steepest,21969,21282,0.9956669648225001,0.83
kroA100,steepest,23223,21282,0.9864730120093259,0.69
kroA100,steepest,22608,21282,0.990982008006217,0.8
kroA100,steepest,22988,21282,0.9881959616991949,0.82
kroA100,steepest,23419,21282,0.985035998650967,0.71
kroA100,steepest,22527,21282,0.991575875771661,0.72
kroA100,steepest,22224,21282,0.993797381116471,0.82
kroA100,steepest,23215,21282,0.9865316656157901,0.68
kroA100,steepest,23624,21282,0.983532999985337,0.73
kroA100,steepest,23343,21282,0.985593207912371,0.74
kroA100,steepest,23158,21282,0.9869495725618429,0.73
kroA100,steepest,22965,21282,0.9883645908177779,0.76
kroA100,steepest,22310,21282,0.9931668548469871,0.76
kroA100,steepest,21747,21282,0.997294602401865,0.88
kroA100,steepest,23841,21282,0.9819420209100109,0.68
kroA100,steepest,22459,21282,0.992074431426602,0.77
kroA100,steepest,23616,21282,0.9835916535918,0.72
kroA100,steepest,22963,21282,0.988379254219394,0.77
kroA100,steepest,22395,21282,0.992543660278311,0.81
kroA100,steepest,23263,21282,0.9861797439770079,0.75
kroA100,steepest,23221,21282,0.986487675410942,0.71
kroA100,steepest,22123,21282,0.994537882898075,0.71
kroA100,steepest,22460,21282,0.9920670997257941,0.75
kroA100,steepest,23905,21282,0.9814727920583021,0.7
kroA100,steepest,22568,21282,0.991275276038535,0.83
kroA100,steepest,21953,21282,0.995784272035427,0.86
kroA100,steepest,22289,21282,0.9933208205639541,0.79
kroA100,steepest,22418,21282,0.992375031159728,0.75
kroA100,steepest,23218,21282,0.986509670513366,0.72
kroA100,steepest,23005,21282,0.98807132278546,0.74
kroA100,steepest,22636,21282,0.9907767203835942,0.66
kroA100,steepest,24019,21282,0.980636978166195,0.72
kroA100,steepest,22683,21282,0.9904321304456211,0.75
kroA100,steepest,22927,21282,0.98864319544848,0.78
kroA100,steepest,21798,21282,0.9969206856606599,0.9
kroA100,steepest,22592,21282,0.9910993152191441,0.76
kroA100,steepest,22098,21282,0.9947211754182741,0.84
kroA100,steepest,22940,21282,0.988547883337977,0.78
kroA100,steepest,23059,21282,0.98767541094183,0.72
kroA100,steepest,22511,21282,0.9916931829845891,0.81
kroA100,steepest,21955,21282,0.9957696086338109,0.81
kroA100,steepest,23329,21282,0.985695851723683,0.75
kroA100,steepest,22613,21282,0.9909453495021769,0.8
kroA100,steepest,23456,21282,0.984764725721073,0.67
kroA100,steepest,22274,21282,0.9934307960760741,0.83
kroA100,steepest,23215,21282,0.9865316656157901,0.76
kroA100,steepest,23037,21282,0.9878367083596049,0.77
kroA100,steepest,22184,21282,0.9940906491487901,0.82
kroA100,steepest,23362,21282,0.9854539055970201,0.7
kroA100,steepest,22373,21282,0.9927049576960859,0.74
kroA100,steepest,23547,21282,0.9840975409475491,0.73
kroA100,steepest,22381,21282,0.992646304089623,0.83
kroA100,steepest,22409,21282,0.992441016467,0.75
kroA100,steepest,23621,21282,0.9835549950877599,0.71
kroA100,steepest,23056,21282,0.987697406044254,0.73
kroA100,steepest,22746,21282,0.9899702332947199,0.72
kroA100,steepest,22585,21282,0.9911506371248001,0.82
