problem,optimizer,final_cost,optimal_cost,quality,similarity
kroC100,steepest,21557,20749,0.9940005940005942,0.78
kroC100,steepest,22684,20749,0.9856326106326109,0.71
kroC100,steepest,22153,20749,0.9895752895752901,0.82
kroC100,steepest,21056,20749,0.9977205227205229,0.84
kroC100,steepest,21543,20749,0.9941045441045441,0.89
kroC100,steepest,23495,20749,0.9796109296109301,0.67
kroC100,steepest,21977,20749,0.9908820908820909,0.78
kroC100,steepest,22003,20749,0.9906890406890408,0.74
kroC100,steepest,21108,20749,0.997334422334422,0.89
kroC100,steepest,22329,20749,0.9882684882684879,0.71
kroC100,steepest,22979,20749,0.9834422334422329,0.68
kroC100,steepest,23993,20749,0.9759132759132759,0.69
kroC100,steepest,21900,20749,0.9914538164538158,0.8
kroC100,steepest,22493,20749,0.9870507870507871,0.75
kroC100,steepest,23177,20749,0.981972081972082,0.66
kroC100,steepest,22130,20749,0.989746064746065,0.82
kroC100,steepest,22169,20749,0.9894564894564891,0.75
kroC100,steepest,21813,20749,0.992099792099792,0.84
kroC100,steepest,22640,20749,0.985959310959311,0.75
kroC100,steepest,22312,20749,0.988394713394713,0.71
kroC100,steepest,22694,20749,0.985558360558361,0.74
kroC100,steepest,22903,20749,0.984006534006534,0.75
kroC100,steepest,22265,20749,0.988743688743689,0.82
kroC100,steepest,21796,20749,0.9922260172260171,0.75
kroC100,steepest,22246,20749,0.988884763884764,0.73
kroC100,steepest,21920,20749,0.9913053163053159,0.76
kroC100,steepest,23544,20749,0.9792471042471039,0.69
kroC100,steepest,22162,20749,0.989508464508465,0.78
kroC100,steepest,22017,20749,0.9905850905850909,0.75
kroC100,steepest,24061,20749,0.975408375408375,0.64
kroC100,steepest,22016,20749,0.990592515592516,0.79
kroC100,steepest,23695,20749,0.978125928125928,0.67
kroC100,steepest,22170,20749,0.9894490644490641,0.84
kroC100,steepest,21979,20749,0.990867240867241,0.75
kroC100,steepest,21471,20749,0.9946391446391449,0.87
kroC100,steepest,22511,20749,0.986917136917137,0.72
kroC100,steepest,21546,20749,0.994082269082269,0.77
kroC100,steepest,21813,20749,0.992099792099792,0.78
kroC100,steepest,23987,20749,0.9759578259578259,0.56
kroC100,steepest,22013,20749,0.990614790614791,0.76
kroC100,steepest,21979,20749,0.990867240867241,0.72
kroC100,steepest,22751,20749,0.9851351351351351,0.69
kroC100,steepest,23125,20749,0.9823581823581821,0.69
kroC100,steepest,22950,20749,0.9836575586575591,0.78
kroC100,steepest,22351,20749,0.9881051381051379,0.79
kroC100,steepest,22217,20749,0.9891000891000891,0.78
kroC100,steepest,22167,20749,0.9894713394713391,0.72
kroC100,steepest,22974,20749,0.983479358479358,0.71
kroC100,steepest,21715,20749,0.9928274428274431,0.81
kroC100,steepest,24116,20749,0.975,0.66
kroC100,steepest,21711,20749,0.992857142857143,0.78
kroC100,steepest,22007,20749,0.9906593406593409,0.67
kroC100,steepest,21831,20749,0.9919661419661421,0.75
kroC100,steepest,22595,20749,0.9862934362934358,0.75
kroC100,steepest,21723,20749,0.992768042768043,0.75
kroC100,steepest,21441,20749,0.994861894861895,0.81
kroC100,steepest,22360,20749,0.9880383130383129,0.67
kroC100,steepest,22334,20749,0.9882313632313628,0.77
kroC100,steepest,21757,20749,0.9925155925155931,0.8
kroC100,steepest,21239,20749,0.996361746361746,0.75
kroC100,steepest,21129,20749,0.997178497178497,0.85
kroC100,steepest,21939,20749,0.991164241164241,0.78
kroC100,steepest,21415,20749,0.9950549450549449,0.84
kroC100,steepest,21943,20749,0.9911345411345409,0.71
kroC100,steepest,22036,20749,0.990444015444015,0.75
kroC100,steepest,23653,20749,0.9784377784377779,0.68
kroC100,steepest,23133,20749,0.982298782298782,0.75
kroC100,steepest,21450,20749,0.99479506979507,0.83
kroC100,steepest,22654,20749,0.985855360855361,0.74
kroC100,steepest,22954,20749,0.9836278586278591,0.66
kroC100,steepest,21476,20749,0.9946020196020201,0.75
kroC100,steepest,22342,20749,0.988171963171963,0.73
kroC100,steepest,22370,20749,0.987964062964063,0.67
kroC100,steepest,22665,20749,0.9857736857736858,0.77
kroC100,steepest,21794,20749,0.992240867240867,0.77
kroC100,steepest,22119,20749,0.9898277398277401,0.78
kroC100,steepest,22895,20749,0.9840659340659341,0.77
kroC100,steepest,23511,20749,0.979492129492129,0.67
kroC100,steepest,23395,20749,0.98035343035343,0.65
kroC100,steepest,22191,20749,0.989293139293139,0.85
kroC100,steepest,23741,20749,0.9777843777843779,0.7
kroC100,steepest,22559,20749,0.9865607365607371,0.69
kroC100,steepest,21033,20749,0.9978912978912979,0.81
kroC100,steepest,23401,20749,0.9803088803088801,0.64
kroC100,steepest,22930,20749,0.9838060588060591,0.67
kroC100,steepest,21473,20749,0.9946242946242951,0.77
kroC100,steepest,22724,20749,0.9853356103356099,0.7
kroC100,steepest,22493,20749,0.9870507870507871,0.7
kroC100,steepest,22503,20749,0.986976536976537,0.74
