problem,optimizer,final_cost,optimal_cost,quality,similarity
lin105,steepest,15880,14379,0.985900454731784,0.7714285714285715
lin105,steepest,15675,14379,0.987854752757467,0.8
lin105,steepest,14683,14379,0.997311648569549,0.8380952380952381
lin105,steepest,15225,14379,0.9921446752528671,0.7714285714285715
lin105,steepest,15688,14379,0.987730821663155,0.7333333333333333
lin105,steepest,14857,14379,0.995652878537994,0.8761904761904762
lin105,steepest,15047,14379,0.993841577928825,0.8095238095238095
lin105,steepest,15525,14379,0.9892847269225999,0.7904761904761904
lin105,steepest,15358,14379,0.9908767648264492,0.8380952380952381
lin105,steepest,15629,14379,0.9882932781681079,0.7714285714285715
lin105,steepest,15145,14379,0.992907328140938,0.8
lin105,steepest,15770,14379,0.986949102452882,0.780952380952381
lin105,steepest,14401,14379,1.0,0.9428571428571428
lin105,steepest,15146,14379,0.9928977949798371,0.8571428571428571
lin105,steepest,14896,14379,0.9952810852550601,0.8476190476190476
lin105,steepest,15171,14379,0.9926594659523149,0.8
lin105,steepest,15569,14379,0.988865267834161,0.7714285714285715
lin105,steepest,14600,14379,0.9981029009409229,0.8952380952380953
lin105,steepest,15583,14379,0.988731803578749,0.7428571428571429
lin105,steepest,14575,14379,0.998341229968445,0.9238095238095239
lin105,steepest,14978,14379,0.9944993660447871,0.7619047619047619
lin105,steepest,15228,14379,0.9921160757695641,0.7904761904761904
lin105,steepest,15213,14379,0.9922590731860781,0.819047619047619
lin105,steepest,15404,14379,0.990438239415808,0.7904761904761904
lin105,steepest,15308,14379,0.991353422881493,0.780952380952381
lin105,steepest,14498,14379,0.9990752833732142,0.9523809523809523
lin105,steepest,14603,14379,0.99807430145762,0.8285714285714286
lin105,steepest,15174,14379,0.992630866469012,0.7523809523809524
lin105,steepest,15120,14379,0.9931456571684599,0.8
lin105,steepest,15395,14379,0.990524037865716,0.7523809523809524
lin105,steepest,14873,14379,0.99550034796038,0.8571428571428571
lin105,steepest,15315,14379,0.9912866907537871,0.7428571428571429
lin105,steepest,15416,14379,0.990323841482597,0.7714285714285715
lin105,steepest,15867,14379,0.986024385826096,0.7619047619047619
lin105,steepest,14573,14379,0.9983602962906469,0.8571428571428571
lin105,steepest,15239,14379,0.9920112109974549,0.8095238095238095
lin105,steepest,14902,14379,0.995223886288454,0.8571428571428571
lin105,steepest,15298,14379,0.991448754492502,0.8285714285714286
lin105,steepest,14949,14379,0.9947758277167129,0.8
lin105,steepest,14770,14379,0.996482263553772,0.9142857142857143
lin105,steepest,14511,14379,0.998951352278902,0.9047619047619048
lin105,steepest,15311,14379,0.9913248233981908,0.8
lin105,steepest,15564,14379,0.9889129336396658,0.780952380952381
lin105,steepest,15028,14379,0.994022707989742,0.780952380952381
lin105,steepest,15552,14379,0.9890273315728759,0.8095238095238095
lin105,steepest,15124,14379,0.993107524524057,0.819047619047619
lin105,steepest,14528,14379,0.998789288540187,0.9619047619047619
lin105,steepest,15184,14379,0.992535534858004,0.7523809523809524
lin105,steepest,15171,14379,0.9926594659523149,0.8095238095238095
lin105,steepest,15544,14379,0.989103596861683,0.780952380952381
lin105,steepest,15288,14379,0.991544086103511,0.8571428571428571
lin105,steepest,15297,14379,0.991458287653603,0.8476190476190476
lin105,steepest,15102,14379,0.9933172540682759,0.7904761904761904
lin105,steepest,15341,14379,0.991038828565164,0.8095238095238095
lin105,steepest,15078,14379,0.9935460499346981,0.7904761904761904
lin105,steepest,15464,14379,0.989866249749755,0.780952380952381
lin105,steepest,14911,14379,0.9951380878385458,0.8380952380952381
lin105,steepest,15315,14379,0.9912866907537871,0.7904761904761904
